브랜드,중분류,소분류,상품명,정가,할인가
캐트리스,베이스 메이크업 제품,베이스 메이크업용 가루파우더,올 매트 플러스 샤인 컨트롤 파우더,"4,500","8,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스,"6,400","8,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,올라운드 컨실러,"4,500","8,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,캐머플라지 크림,"4,900","6,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,HD 리퀴드 커버리지 프리시전 컨실러 1+1,"16,000", 
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,HD 리퀴드 커버리지 파운데이션,"10,500","13,500"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,프로 슬림 아이섀도 팔레트,"19,900", 
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,프로 슬림 아이섀도 팔레트 2 SET,"27,800","39,800"
캐트리스,색조 메이크업 아이,색조 메이크업 마스카라,글램 & 돌 마스카라,"8,500", 
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,더 컬렉션 아이섀도 팔레트 듀오,"19,200","24,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이라이너,18h 컬러 ＆ 컨투어 아이 펜슬,"4,500", 
캐트리스,색조 메이크업 아이,색조 메이크업 아이브로우,슬림매틱 울트라 프리사이즈 브로우 펜슬 워터프루프,"4,800","6,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이브로우,브로우 컬러리스트 세미-펄머넌트 브로우 마스카라,"6,400","8,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,아이섀도우 스틱,"5,000","10,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,프로 슬림 아이섀도 팔레트 2 SET,"26,800","39,800"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,프로 슬림 아이섀도 팔레트,"14,900","19,900"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,더 컬렉션 아이섀도 팔레트 듀오,"15,200","24,000"
캐트리스,색조 메이크업 아이,색조 메이크업 마스카라,글램 & 돌 마스카라,"5,900","8,500"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,인스턴트 글램 아이섀도 팔레트,"6,900","13,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이브로우,슬림매틱 울트라 프리사이즈 브로우 펜슬 워터프루프,"3,900","6,000"
캐트리스,색조 메이크업 아이,색조 메이크업 마스카라,더 리틀 블랙 원 볼륨 마스카라,"9,500", 
캐트리스,색조 메이크업 기타,색조 메이크업 세트,아이브로우 세트,"6,500","9,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이브로우,아이브로우 스타일리스트,"4,600","6,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이라이너,18h 컬러 ＆ 컨투어 아이 펜슬,"3,600","4,500"
캐트리스,색조 메이크업 아이,색조 메이크업 아이브로우,브로우 컬러리스트 세미-펄머넌트 브로우 마스카라,"5,900","8,000"
캐트리스,색조 메이크업 기타,색조 메이크업 세트,베스트 색조 3종 세트,"22,500", 
캐트리스,색조 메이크업 아이,색조 메이크업 아이라이너,잇츠 이지 아이라이너,"4,500","5,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,더 컬렉션 아이섀도 팔레트,"8,100","12,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,슈퍼비아 아이섀도 팔레트,"5,900","15,000"
캐트리스,색조 메이크업 립,색조 메이크업 립밤,쉬어 뷰티파잉 립 밤,"7,200","8,000"
캐트리스,색조 메이크업 기타,색조 메이크업 세트,데미 매트 립스틱 2set,"13,900","18,000"
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,파워플럼핑 젤 립스틱 1+1,"18,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,제너레이션 플럼프 & 샤인 립 글로스 1+1,"18,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,데미 매트 립스틱,"7,900","9,000"
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,얼티미트 매트 립스틱,"8,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,제너레이션 플럼프 & 샤인 립 글로스,"8,100","9,000"
캐트리스,색조 메이크업 기타,색조 메이크업 세트,얼티미트 매트 립스틱 2 SET,"16,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,쉬어 뷰티파잉 립 밤,"6,900","8,000"
캐트리스,색조 메이크업 기타,색조 메이크업 세트,데미 매트 립스틱 2set,"13,900","18,000"
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,캐트리스 크리에이트리스 립 팔레트 1+1,"28,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,파워플럼핑 젤 립스틱 1+1,"18,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,제너레이션 플럼프 & 샤인 립 글로스 1+1,"18,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,립 글로우 밤,"10,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,볼류마이징 립 밤,"9,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,데미 매트 립스틱,"7,400","9,000"
캐트리스,색조 메이크업 립,립메이크업,베스트 색조 3종 세트,"22,500", 
캐트리스,색조 메이크업 기타,색조 메이크업 세트,얼티미트 매트 립스틱 2 SET,"16,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,캐트리스 크리에이트리스 립 팔레트,"14,000", 
캐트리스,색조 메이크업 립,색조 메이크업 립밤,제너레이션 플럼프 & 샤인 립 글로스,"6,300","9,000"
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,얼티미트 매트 립스틱,"8,000", 
캐트리스,색조 메이크업 기타,색조 메이크업 세트,파워플럼핑 젤 립스틱 2 SET,"13,900","18,000"
캐트리스,색조 메이크업 립,색조 메이크업 립스틱,파워플럼핑 젤 립스틱,"4,500","9,000"
캐트리스,뷰티 도구,픽싱 스프레이,프라임 앤 파인 픽싱 스프레이 50ml,"7,200","10,000"
